gene,h3k27me3_gm,h3k36me3_gm,mae_pred_gm,mae_prob_gm,h3k27me3_k5,h3k36me3_k5,mae_pred_k5,mae_prob_k5,switch,is_sig_paralog,is_nsig_paralog
GBA2,0.48686393065439565,0.9259457434854728,0,0.10134930575114626,0.6161913425009364,0.9229987157534246,0,0.15989082607333718,BAE in both,False,False
SDR16C5,0.875541762534111,0.2831077104178929,1,0.9250123688487296,0.8472363422333993,0.08893407534246575,1,0.9663454500195406,MAE in both,False,True
RELL1,0.28069987693295523,0.562576916902991,0,0.23078418440807555,0.7866124458237466,0.3915346746575342,1,0.8359878057708645,BAE→MAE (gained in cancer),False,False
TOB1,0.05607576649365937,0.4962812349510407,0,0.1466570984556396,0.7100968484135053,0.7697452910958904,0,0.36937517195298913,BAE in both,False,True
ABCG8,0.8265289742629354,0.11504093316924394,1,0.9588039271213037,0.9135320241853496,0.2706549657534247,1,0.9383853726001108,MAE in both,False,True
TSPAN19,0.5756327251324308,0.22194873990047623,1,0.8366956081100444,0.12023115201455402,0.3168878424657534,0,0.3485936611461623,MAE→BAE (lost in cancer),False,True
CFAP58,0.7926052758307025,0.369415164000214,1,0.8533573928652319,0.7348172721921986,0.3256635273972603,1,0.8518654160217481,MAE in both,False,False
SYNE3,0.5315961260634597,0.9497030338701911,0,0.10684852745122196,0.8259939001551715,0.12425085616438356,1,0.95688791319186,BAE→MAE (gained in cancer),False,False
ADAMTS10,0.7781047675103002,0.09015998715822142,1,0.9560339513216128,0.9255176841992616,0.1366117294520548,1,0.9686452073537175,MAE in both,False,True
GPKOW,0.11327518861362298,0.7072074482315801,0,0.07077883125789941,0.25260848627534915,0.9590111301369864,0,0.03673116821829764,BAE in both,False,False
CCDC14,0.19203809727647278,0.7454117395259243,0,0.07921353267017417,0.24367274867569158,0.8553082191780822,0,0.05780391647678233,BAE in both,False,False
SRRD,0.14024292364492483,0.8707260955642356,0,0.03647495355998201,0.25523034940339234,0.9555864726027398,0,0.037705038761696126,BAE in both,False,False
C1ORF204,0.8388891861522821,0.39103215795387664,1,0.8625700564941364,0.9144416501685484,0.1134952910958904,1,0.9707105105862401,MAE in both,False,False
TTF2,0.3101289528599711,0.9911177698111189,0,0.03922074570291681,0.42607951201241373,0.9105843321917808,0,0.08740063846154247,BAE in both,False,True
ITPKC,0.35363047782117824,0.6084862753491359,0,0.2417568415827459,0.4155385520894644,0.6709118150684932,0,0.23024051156729722,BAE in both,False,True
ZZEF1,0.38289903151586496,0.955695863877147,0,0.060778015728374005,0.31467708277596446,0.802814640410959,0,0.0950638408146298,BAE in both,False,False
FRMD8,0.4224945154903954,0.8498582053614425,0,0.1129614962400687,0.4609663438386217,0.7096532534246576,0,0.22810687880840358,BAE in both,False,False
SERPINA12,0.8815880999518433,0.19530204933383274,1,0.9511391510367245,0.6790090427524212,0.0876498287671233,1,0.9371386502028802,MAE in both,False,False
THEM5,0.8849590668307561,0.32709080207608754,1,0.9115677236591041,0.9895660548986035,0.4262093321917808,1,0.9051944140181852,MAE in both,False,True
E2F5,0.20611054631066403,0.6715715126545027,0,0.11567072991021203,0.10150355824281664,0.5509417808219178,0,0.13569232594392025,BAE in both,False,True
FAM129A,0.24040879661833164,0.5893841297019637,0,0.18326097359513724,0.3113596233078281,0.5373501712328768,0,0.27707020081231826,BAE in both,False,False
ENTHD1,0.6228797688479855,0.3968644657285034,1,0.7227832173315479,0.2708010059393226,0.4530179794520548,0,0.331083531014978,MAE→BAE (lost in cancer),False,True
CYP4F8,0.7701321633046176,0.10177109529669859,1,0.9521581784853244,0.6851088875809299,0.3323523116438356,1,0.8206587494471137,MAE in both,False,True
FOSL1,0.5483974530472471,0.4981004869174381,1,0.5415900966021866,0.5182192733693617,0.827054794520548,0,0.17193635897100784,MAE→BAE (lost in cancer),True,True
DEPDC1B,0.21509979132109797,0.5967681523891059,0,0.163784248667093,0.21943389159398577,0.6477418664383562,0,0.1342008613335768,BAE in both,False,True
RTTN,0.14580769436566965,0.7496388249772593,0,0.0656345051897993,0.10219915458290973,0.7060145547945206,0,0.06833923043024585,BAE in both,False,False
LRRIQ3,0.32821445770239177,0.22087859168494836,1,0.6605583386943987,0.08042163839691797,0.3204195205479452,0,0.31019074891041143,MAE→BAE (lost in cancer),False,False
GJD2,0.9785435282786666,0.012761517470169619,1,0.9859232483348485,0.8760233292310985,0.01953125,1,0.978382674907178,MAE in both,False,True
OXR1,0.6327251324308417,0.4554015731178768,1,0.6701281452151444,0.5565840868960351,0.4386772260273973,1,0.6204812777315605,MAE in both,False,True
SHCBP1L,0.7275937717373856,0.1188399593343678,1,0.939313528448687,0.6828615763283215,0.3964576198630137,1,0.7678621011277589,MAE in both,False,True
EXD3,0.6428380330675798,0.2478998341270266,1,0.85451066372129,0.6722136015838194,0.20612157534246575,1,0.8900970119872955,MAE in both,False,False
PGRMC2,0.055433677564342664,0.6267323024238857,0,0.0827148808069807,0.21306650971159505,0.8497431506849316,0,0.0529424607324336,BAE in both,False,True
LCE2C,0.8720637808336454,0.012761517470169619,1,0.9787551674522866,0.7114880410936915,0.1525042808219178,1,0.9248596055064752,MAE in both,False,True
TRNT1,0.15292417999892985,0.9227352988388892,0,0.029880491673169307,0.24602707474985286,0.9680543664383562,0,0.03431905414728798,BAE in both,False,False
HBS1L,0.10182460270747498,0.7488897212263899,0,0.05598256415329142,0.187703997003585,0.874197345890411,0,0.04292785272654713,BAE in both,False,True
LILRA5,0.8279201669431216,0.04168227299480978,1,0.9710858513215467,0.8311306115897051,0.14929366438356165,1,0.9524276682564613,MAE in both,False,True
TLL2,0.8713681844935524,0.41355877789073786,1,0.86455352339427,0.8882765262988924,0.1269263698630137,1,0.9655012268687105,MAE in both,False,True
FSCN3,0.8153459254106694,0.17534378511423832,1,0.9430195283630054,0.9857670287334795,0.23972602739726026,1,0.9592909969933221,MAE in both,False,True
MSTO1,0.0537214404194981,0.6435871368184494,0,0.07615601105546085,0.03681309861415806,0.30859375,0,0.28647964270857135,BAE in both,False,False
ACOT2,0.10952966985927551,0.5236235218577773,0,0.15637765003973716,0.04066563219005832,0.06667380136986302,1,0.5729722766033514,BAE→MAE (gained in cancer),False,True
PPP1R3G,0.9987693295521429,0.012761517470169619,1,0.9869858848972854,0.7439135320241853,0.2907748287671233,1,0.8761978230363487,MAE in both,False,True
DRAM1,0.22756701803199744,0.8044839210230617,0,0.06886712505212343,0.5492535716196694,0.4708904109589041,1,0.5754479755837508,BAE→MAE (gained in cancer),False,True
CENPB,0.5467922307239552,0.5258173256996094,1,0.5059833351429731,0.3493498849590668,0.711205051369863,0,0.158989293105795,MAE→BAE (lost in cancer),False,True
NT5C3B,0.33565198780031036,0.6774038204291294,0,0.1746253719572829,0.46835036652576384,0.7752033390410958,0,0.18052478816199552,BAE in both,False,True
UGT1A3,0.7979560169083418,0.2502006527904115,1,0.9144578300190344,0.729145486649901,0.1522902397260274,1,0.9296157136617013,MAE in both,False,False
C1ORF234,0.5427791749157258,0.3389694472684467,1,0.716732638445464,0.7753758895607041,0.2558326198630137,1,0.9048880997958908,MAE in both,False,False
RFX3,0.17368505538017015,0.5974102413184226,0,0.14228714047961896,0.17464818877414523,0.4553189212328767,0,0.25107628815773,BAE in both,False,True
MATN2,0.8685857991331799,0.37995612392316336,1,0.8816525147345073,0.9368612552838568,0.3657962328767123,1,0.9126554663171864,MAE in both,False,True
RALGAPA1,0.3153191717052812,0.565305794852587,0,0.25329094773601535,0.09074856867676173,0.5339790239726028,0,0.14060037455120408,BAE in both,False,True
PPP1CB,0.2234469474022152,0.8656428915404784,0,0.05109514552295044,0.14778746856439617,0.8125535102739726,0,0.04936859353140663,BAE in both,False,True
PNKD,0.6199903686660603,0.48611482690352614,1,0.6242000809717219,0.43143025309005295,0.5734696061643836,0,0.3397147505457727,MAE→BAE (lost in cancer),False,True
ERI2,0.24945154903954198,0.5853175664829579,0,0.1917299788552892,0.3558777890737867,0.8332619863013698,0,0.0961132099692855,BAE in both,False,False
LBX2,0.9892985178447214,0.4921611643212585,1,0.8733023005684013,0.49601369789715877,0.2636451198630137,1,0.7531133020131964,MAE in both,False,True
ABCA7,0.41778586334207285,0.5472737974209428,0,0.35681011324355055,0.6482957889667719,0.6848779965753424,0,0.41094091422385565,BAE in both,False,True
TRIM36,0.7768740970624431,0.18588474503718766,1,0.9310621947507304,0.5524640162662529,0.313302654109589,1,0.7489108496496896,MAE in both,False,True
MNDA,0.2752956284445396,0.6438011664615549,0,0.16449566246556122,0.32339879073251643,0.4639875856164384,0,0.36577320894095255,BAE in both,False,True
LMOD3,0.7036759591203382,0.48210177109529667,1,0.7019062971986567,0.6870351543688801,0.21607448630136986,1,0.8910027489397097,MAE in both,False,True
ZNF155,0.5327732891005404,0.8676761731499812,0,0.1525476293503036,0.5812510032639521,0.4493257705479452,1,0.6309255187896089,BAE→MAE (gained in cancer),False,False
ISG15,0.4793193857349243,0.4348012199689657,1,0.5514977466073895,0.5638610947616245,0.06892123287671233,1,0.9122278537085928,MAE in both,False,True
KANK1,0.8149178661244583,0.3314249023489753,1,0.884530057216616,0.7673497779442453,0.2026969178082192,1,0.9229313826731876,MAE in both,False,True
DBR1,0.23949917063513296,0.9164214243672749,0,0.04275644270753437,0.04671196960779068,0.9096746575342466,0,0.02117093722822353,BAE in both,False,False
