gene_symbol,mrna_hl_h
A4GALT,3.50877192982456
AAAS,16.9811320754717
AACS,3.44827586206897
AADAT,8.0
AAGAB,8.46153846153846
AAK1,3.2258064516129
AAMDC,2.63157894736842
AAMP,13.1162790697674
AAR2,2.73972602739726
AARS1,10.0606060606061
AARS2,3.84615384615385
AASDH,2.98507462686567
AASDHPPT,5.63636363636364
AATF,6.54545454545454
ABCA1,2.66666666666667
ABCA2,4.5
ABCA7,3.63636363636364
ABCA8,2.8169014084507
ABCB10,8.85714285714286
ABCB6,3.03030303030303
ABCB7,20.8695652173913
ABCB8,6.5
ABCB9,6.0
ABCC1,5.06666666666667
ABCC10,2.8169014084507
ABCC2,2.56410256410256
ABCC3,2.85714285714286
ABCC4,3.38983050847458
ABCC5,3.07692307692308
ABCD1,8.64
ABCD3,9.42857142857143
ABCD4,3.03030303030303
ABCE1,9.12
ABCF2-H2BK1,8.8
ABCF3,4.15384615384615
ABCG1,6.06060606060606
ABHD1,2.35294117647059
ABHD10,3.44827586206897
ABHD11,3.7037037037037
ABHD12,10.5263157894737
ABHD13,2.12765957446809
ABHD14A,24.0
ABHD14B,3.27868852459016
ABHD15,3.125
ABHD16B,2.66666666666667
ABHD17A,3.33333333333333
ABHD17B,2.24719101123596
ABHD18,3.125
ABHD2,8.875
ABHD3,8.4
ABHD4,7.64705882352941
ABHD5,3.63636363636364
ABHD6,2.94117647058824
ABHD8,3.27868852459016
ABI1,5.33333333333333
ABI2,9.29032258064516
ABI3BP,2.27272727272727
ABITRAM,8.41379310344828
ABL1,3.84615384615385
ABL2,2.66666666666667
ABLIM1,12.0
ABLIM2,2.40963855421687
ABLIM3,9.5
ABR,5.90476190476191
ABRAXAS1,3.44827586206897
ABRAXAS2,2.63157894736842
ABT1,2.46913580246914
ABTB1,2.77777777777778
ABTB2,2.77777777777778
ACAA1,3.7037037037037
ACAA2,24.0
ACACA,3.125
ACACB,2.85714285714286
ACAD10,5.2
ACAD11,16.0
ACAD8,3.77358490566038
ACAD9,6.5
ACADM,11.1666666666667
ACADS,4.0
ACADVL,3.57142857142857
ACAP1,2.35294117647059
ACAP2,6.10526315789474
ACAP3,4.2
ACAT1,24.0
ACAT2,24.0
ACBD3,3.27868852459016
ACBD4,2.56410256410256
ACBD5,3.27868852459016
ACBD6,3.50877192982456
ACD,14.4
ACER3,3.84615384615385
ACIN1,8.0
ACKR3,2.46913580246914
ACLY,18.0
ACO1,24.0
ACO2,8.0
ACOT11,2.5974025974026
ACOT13,8.57142857142857
ACOT2,9.71428571428572
ACOT7,21.3333333333333
ACOT8,8.88888888888889
ACOT9,10.8333333333333
ACOX1,10.375
ACOX3,3.27868852459016
ACP1,10.4615384615385
ACP2,11.3846153846154
ACP6,3.17460317460317
ACSF2,3.125
ACSF3,3.84615384615385
ACSL1,9.95121951219512
ACSL3,5.53846153846154
ACSL4,8.68965517241379
ACSS2,11.1578947368421
ACTA2,3.2258064516129
ACTB,21.4736842105263
ACTC1,8.0
ACTG1,12.3529411764706
ACTL10,2.04081632653061
ACTL6A,13.2765957446809
ACTL8,17.28
ACTMAP,6.83870967741935
ACTN1,9.45454545454546
ACTN4,13.0588235294118
ACTR10,11.6571428571429
ACTR1A,6.96296296296296
ACTR1B,3.07692307692308
ACTR2,22.56
ACTR3,13.7560975609756
ACTR3B,2.94117647058824
ACTR5,4.68965517241379
ACTR6,2.98507462686567
ACTR8,3.2258064516129
ACTRT3,2.32558139534884
ACVR1,2.8169014084507
ACVR1B,2.56410256410256
ACVR2A,2.32558139534884
ACVR2B,3.03030303030303
ACY1,24.0
ACYP1,2.98507462686567
ACYP2,3.2258064516129
ADA,4.57142857142857
ADAM10,10.4347826086957
ADAM11,2.5974025974026
ADAM12,6.0
ADAM15,24.0
ADAM17,4.54545454545454
ADAM19,6.93333333333333
ADAM22,2.53164556962025
ADAM32,2.56410256410256
ADAM8,2.1978021978022
ADAM9,24.0
ADAMTS1,2.35294117647059
ADAMTS10,2.53164556962025
ADAMTS15,2.27272727272727
ADAMTS3,5.0
ADAMTS5,2.98507462686567
ADAMTS6,2.5
ADAMTSL4,2.73972602739726
ADAMTSL5,5.5
ADAP1,6.57142857142857
ADAP2,6.10526315789474
ADAR,8.57142857142857
ADARB1,3.38983050847458
ADARB2,2.7027027027027
ADAT1,4.19047619047619
ADAT2,2.40963855421687
ADAT3,2.8169014084507
ADCK1,6.18181818181818
ADCK2,8.59259259259259
ADCK5,2.66666666666667
ADCY3,5.62962962962963
ADCY6,3.38983050847458
ADCY7,3.77358490566038
ADCY9,4.18181818181818
ADD1,9.33333333333333
ADD3,6.0
ADGRA2,5.04347826086957
ADGRA3,3.50877192982456
ADGRD1,2.4390243902439
ADGRD2,2.4390243902439
ADGRE2,9.26315789473684
ADGRE3,24.0
ADGRE5,10.8965517241379
ADGRG1,10.4615384615385
ADGRG6,8.8
ADGRL1,8.0
ADH5,11.25
ADI1,19.8260869565217
ADIPOR1,10.625
ADIPOR2,4.57142857142857
ADIRF,2.35294117647059
ADISSP,20.3478260869565
ADK,3.17460317460317
ADM,2.27272727272727
ADNP,2.5974025974026
ADNP2,2.29885057471264
ADO,2.24719101123596
ADORA2B,2.66666666666667
ADPGK,4.38095238095238
ADPRHL1,2.98507462686567
ADPRM,2.1978021978022
ADPRS,2.85714285714286
ADRA1B,24.0
ADRM1,5.57142857142857
ADSL,21.6
ADSS1,3.07692307692308
ADSS2,3.44827586206897
AEBP2,2.94117647058824
AEN,2.35294117647059
AFAP1,3.17460317460317
AFAP1L1,9.29032258064516
AFF1,3.07692307692308
AFF4,5.18518518518519
AFG1L,2.63157894736842
AFG2A,2.77777777777778
AFG2B,5.5
AFG3L1P,2.94117647058824
AFG3L2,9.38461538461539
AFMID,6.85714285714286
AFTPH,2.94117647058824
AGA,4.0
AGAP1,2.73972602739726
AGAP2,5.61904761904762
AGAP3,3.38983050847458
AGBL5,24.0
AGFG1,8.13333333333333
AGFG2,3.125
AGGF1,3.33333333333333
AGK,8.0
AGL,15.1111111111111
AGMAT,14.4
AGO1,13.3714285714286
AGO2,3.2258064516129
AGO3,5.71428571428571
AGPAT2,10.4347826086957
AGPAT3,6.15384615384615
AGPAT4,2.29885057471264
AGPAT5,3.44827586206897
AGPS,9.33333333333333
AGRN,3.84615384615385
AGT,24.0
AGTPBP1,3.33333333333333
AGTRAP,14.7428571428571
AHCTF1,3.27868852459016
AHCY,24.0
AHCYL1,16.8
AHCYL2,9.0
AHDC1,2.53164556962025
AHI1,2.7027027027027
AHNAK,10.9189189189189
AHR,2.77777777777778
AHRR,5.71428571428571
AHSA1,9.51724137931035
AHSA2P,2.40963855421687
AIDA,8.66666666666667
AIF1L,10.1935483870968
AIFM1,24.0
AIFM2,3.27868852459016
AIG1,3.38983050847458
AIMP1,3.57142857142857
AIMP2,9.0
AIP,8.5
AIRIM,2.77777777777778
AJUBA,3.07692307692308
AK1,16.0
AK2,15.1428571428571
AK3,10.5454545454545
AK4,4.28571428571429
AKAP1,4.57142857142857
AKAP10,2.5
AKAP11,4.0
AKAP12,10.9565217391304
AKAP13,3.27868852459016
AKAP19,2.27272727272727
AKAP7,3.33333333333333
AKAP8,3.38983050847458
AKAP8L,4.63157894736842
AKAP9,2.94117647058824
AKIP1,7.0
AKIRIN1,2.5974025974026
AKIRIN2,2.56410256410256
AKNA,3.38983050847458
AKR1A1,24.0
AKR1B1,24.0
AKR1C3,21.4883720930233
AKR7A2,24.0
AKT1,10.0
AKT1S1,10.25
AKT2,7.63636363636364
AKTIP,3.77358490566038
ALAD,4.5
ALAS1,6.35294117647059
ALCAM,10.0
ALDH16A1,11.1111111111111
ALDH18A1,13.1707317073171
ALDH1A3,3.44827586206897
ALDH1B1,4.48484848484848
ALDH1L2,3.77358490566038
ALDH2,24.0
ALDH3A1,10.2325581395349
ALDH3A2,10.4516129032258
ALDH3B1,6.33333333333333
ALDH4A1,3.57142857142857
ALDH5A1,19.1351351351351
ALDH6A1,24.0
ALDH7A1,24.0
ALDH9A1,11.2222222222222
ALDOA,24.0
ALDOC,24.0
ALG1,9.66666666666667
ALG11,2.73972602739726
ALG12,8.0
ALG13,10.4705882352941
ALG14,3.44827586206897
ALG2,2.66666666666667
ALG3,22.3448275862069
ALG5,3.84615384615385
ALG6,3.7037037037037
ALG8,24.0
ALG9,22.1052631578947
ALKAL2,2.08333333333333
ALKBH1,2.89855072463768
ALKBH2,2.94117647058824
ALKBH3,7.52941176470588
ALKBH4,2.40963855421687
ALKBH5,6.375
ALKBH6,3.7037037037037
ALKBH7,20.7272727272727
ALKBH8,3.125
ALMS1,5.11111111111111
ALOX12,2.40963855421687
ALPI,8.53333333333333
ALPK1,3.27868852459016
ALPL,24.0
ALPP,24.0
ALS2,3.7037037037037
ALS2CL,2.98507462686567
ALX1,2.22222222222222
ALX3,2.63157894736842
ALX4,2.63157894736842
ALYREF,13.875
AMACR,2.53164556962025
AMBRA1,3.2258064516129
AMD1,2.7027027027027
AMDHD2,2.85714285714286
AMER1,2.89855072463768
AMFR,15.2727272727273
AMH,3.44827586206897
AMIGO1,2.46913580246914
AMIGO2,3.125
AMIGO3,3.03030303030303
AMMECR1,5.8
AMMECR1L,2.53164556962025
AMN,2.40963855421687
AMOTL1,3.50877192982456
AMOTL2,2.8169014084507
AMPD2,6.09523809523809
AMTN,24.0
AMY2B,2.32558139534884
AMZ2,15.0
ANAPC1,9.92
ANAPC10,2.5
ANAPC11,24.0
ANAPC13,3.07692307692308
ANAPC15,24.0
ANAPC16,11.0
ANAPC1P2,2.98507462686567
ANAPC2,4.0
ANAPC4,2.77777777777778
ANAPC5,16.258064516129
ANAPC7,6.82352941176471
ANGEL1,6.75862068965517
ANGEL2,5.79310344827586
ANGPT1,2.89855072463768
ANGPT2,2.38095238095238
ANGPTL7,2.02020202020202
ANGPTL8,2.77777777777778
ANK1,8.94117647058824
ANKDD1A,3.17460317460317
ANKEF1,4.68965517241379
ANKFN1,3.27868852459016
ANKFY1,5.05263157894737
ANKH,7.2
ANKHD1,5.6551724137931
ANKHD1-EIF4EBP3,5.37931034482759
ANKLE1,2.8169014084507
ANKMY1,2.7027027027027
ANKMY2,2.7027027027027
ANKRD10,3.7037037037037
ANKRD11,3.84615384615385
ANKRD12,2.89855072463768
ANKRD13A,8.74074074074074
ANKRD13B,5.88235294117647
ANKRD13C,3.63636363636364
ANKRD13D,2.66666666666667
ANKRD16,2.56410256410256
ANKRD17,4.69565217391304
ANKRD18A,4.0
ANKRD18B,3.57142857142857
ANKRD26,2.40963855421687
ANKRD27,3.63636363636364
ANKRD28,3.84615384615385
ANKRD29,3.2258064516129
ANKRD34A,2.27272727272727
ANKRD36,2.85714285714286
ANKRD36B,3.7037037037037
ANKRD37,3.07692307692308
ANKRD39,3.84615384615385
ANKRD40,2.73972602739726
ANKRD42,3.84615384615385
