Table 1: Within-pair Localisation Similarity (Jaccard) and Compartment Count
Metric,Group,n (pairs),Median,p-value (Mann-Whitney)
Jaccard similarity,Sig pairs,25,0.500,0.0075
Jaccard similarity,Non-sig pairs,13062,0.250,
Compartment count per gene,Sig pairs,25,2.000,0.5799
Compartment count per gene,Non-sig pairs,13062,2.000,
Mean compartment count per pair,Sig pairs,25,2.000,0.9504
Mean compartment count per pair,Non-sig pairs,13062,2.000,

Table 2: Per-compartment Enrichment in Significant Paralog Pairs (Fisher's exact test / BH-corrected)
Compartment,Sig % with compartment,Non-sig % with compartment,p-value,q-value (BH)
Flagellar centriole,12.0,1.03,0.0000,0.0007
Mitotic spindle,8.0,1.07,0.0021,0.0516
End piece,10.0,1.98,0.0032,0.0516
Primary cilium tip,8.0,1.37,0.0050,0.0615
Basal body,12.0,3.53,0.0082,0.0802
Cytokinetic bridge,8.0,2.27,0.0269,0.2194
Microtubules,8.0,3.01,0.0639,0.4276
Primary cilium,10.0,4.56,0.0773,0.4276
Vesicles,10.0,20.02,0.0785,0.4276
Nucleoli fibrillar center,6.0,2.16,0.0944,0.4625
Principal piece,8.0,3.59,0.1052,0.4685
Nuclear speckles,8.0,3.75,0.1180,0.4818
Centriolar satellite,4.0,1.59,0.1893,0.7135
Endoplasmic reticulum,0.0,3.60,0.2646,0.9261
Annulus,2.0,0.77,0.3214,1.0000
Nucleoli rim,2.0,0.85,0.3496,1.0000
Cytosol,44.0,38.97,0.4712,1.0000
Golgi apparatus,6.0,10.42,0.4830,1.0000
Plasma membrane,22.0,18.93,0.5875,1.0000
Nucleoli,10.0,7.98,0.5964,1.0000
Nuclear bodies,2.0,4.57,0.7288,1.0000
Nucleoplasm,44.0,46.54,0.7775,1.0000
Mitotic chromosome,0.0,0.42,1.0000,1.0000
Primary cilium transition zone,0.0,0.96,1.0000,1.0000
Peroxisomes,0.0,0.12,1.0000,1.0000
Mitochondria,4.0,5.77,1.0000,1.0000
Perinuclear theca,0.0,0.84,1.0000,1.0000
Nuclear membrane,2.0,2.18,1.0000,1.0000
Midbody ring,0.0,0.20,1.0000,1.0000
Acrosome,0.0,0.86,1.0000,1.0000
Mid piece,2.0,3.34,1.0000,1.0000
Actin filaments,2.0,2.32,1.0000,1.0000
Aggresome,0.0,0.08,1.0000,1.0000
Calyx,0.0,0.90,1.0000,1.0000
Cell Junctions,2.0,2.96,1.0000,1.0000
Centrosome,2.0,3.18,1.0000,1.0000
Cleavage furrow,0.0,0.00,1.0000,1.0000
Connecting piece,0.0,1.00,1.0000,1.0000
Midbody,0.0,0.46,1.0000,1.0000
Cytoplasmic bodies,0.0,0.52,1.0000,1.0000
Equatorial segment,0.0,0.67,1.0000,1.0000
Focal adhesion sites,0.0,1.19,1.0000,1.0000
Intermediate filaments,0.0,0.93,1.0000,1.0000
Kinetochore,0.0,0.00,1.0000,1.0000
Lipid droplets,0.0,0.39,1.0000,1.0000
Rods & Rings,0.0,0.19,1.0000,1.0000
Microtubule ends,0.0,0.03,1.0000,1.0000
Endosomes,0.0,0.07,1.0000,1.0000
Lysosomes,0.0,0.10,1.0000,1.0000
