Metric,Sig n,Sig median,Non-sig n,Non-sig median,p-value,q-value (BH)
RNA HL | Within-pair |diff|,26,2.786,7904,2.379,0.8332,0.9165
RNA HL | Pair mean HL,26,7.488,7904,5.207,0.005368,0.01968
RNA HL | Per-gene HL,52,7.319,15808,4.0,0.0001225,0.000674
Protein HL | Within-pair |diff|,23,40.063,3970,49.552,0.4947,0.7774
Protein HL | Pair mean HL,23,105.725,3970,100.931,0.7224,0.8829
Protein HL | Per-gene HL,46,110.164,7940,91.598,0.3354,0.6149
MAE [All genes] | Per-gene MAE prob,68,0.06,47196,0.751,7.043e-19,7.747e-18
MAE | Pair concordance (both same MAE/BAE),34,1.0,23598,1.0,0.3338,0.6149
Localisation | Jaccard similarity,25,0.5,13062,0.25,0.0075,0.02063
Localisation | Compartment count per gene,50,2.0,26124,2.0,0.5799,0.7974
Localisation | Mean compartment count per pair,25,2.0,13062,2.0,0.9504,0.9504
